Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP_EEEFK1E331P,1,330u 25V,C178543
"C3, C7",0402,2,0.1u 25V,C307331
"C4, C5, C6",0805,3,10u 25V,C15850
"D1, D2, D3, D4, D5",SS14,5,SS14,C2480
J1,PHOENIX_1713888,1,PUMP OUTPUT,
J2,1x4 solderwire header TXRX,1,Conn_01x04_Socket,
J3,1x4 solderwire header ANALOG,1,Conn_01x04_Socket,
J8,PHOENIX_1708136,1,SIGNAL IO,
J9,PHOENIX_1706756,1,Conn_01x04_Socket,
L1,IND_XAL4030-332MEC,1,3.3u,C2937437
"Q1, Q2, Q3, Q4, Q5",CSD17318Q2_DGS,5,Q_NMOS_DGS,C2862001
"R1, R3, R5, R7, R9",0402,5,100,C25076
"R10, R2, R4, R6, R8",0402,5,10k,C25744
R11,0603,1,150 0603 0.1W,C22808
R12,0402,1,100k,C25741
R13,0402,1,13.7k,C25854
U1,ESP32-30U-DevKitC,1,ESP32-30U-DevKitC,
U2,LMR51430,1,LMR51430YDDCR,C5210749
