Designator,Mid X,Mid Y,Rotation,Layer
C1,123.5,-82.8,90.0,top
C3,117.52,-121.0,0.0,top
C4,124.05,-124.25,180.0,top
C5,124.05,-122.0,180.0,top
C6,119.0,-113.5,0.0,top
C7,118.98,-115.75,0.0,top
D1,138.5,-68.5,180.0,top
D2,125.607747,-68.497221,180.0,top
D3,150.978529,-68.51382,180.0,top
D4,163.705714,-68.513956,180.0,top
D5,176.365,-68.5,180.0,top
J1,149.992499,-61.9275,180.0,top
J2,122.9,-144.58,0.0,top
J8,182.7,-95.695,90.0,top
J9,111.873126,-88.137537,270.0,top
L1,123.935,-118.5,0.0,top
Q1,170.766842,-68.643829,0.0,top
Q2,158.273516,-68.863013,0.0,top
Q3,145.720054,-68.631741,0.0,top
Q4,133.24934,-68.562912,0.0,top
Q5,120.255008,-68.643829,0.0,top
R1,168.461842,-70.993829,0.0,top
R10,120.220008,-70.743829,0.0,top
R11,174.388351,-112.063799,90.0,top
R12,130.950036,-117.328716,315.0,top
R13,129.889376,-118.389376,315.0,top
R2,170.731842,-70.993829,0.0,top
R3,155.955753,-70.965431,0.0,top
R4,158.238013,-70.981741,0.0,top
R5,143.505054,-70.731741,0.0,top
R6,145.735054,-70.731741,0.0,top
R7,131.01,-70.5,0.0,top
R8,133.24,-70.5,0.0,top
R9,117.970008,-70.743829,0.0,top
U1,149.187087,-130.298901,0.0,top
U2,118.65,-118.52,180.0,top
